source,target,salience
27,129,0.04040404040404041
27,144,0.005050505050505051
27,106,0.005050505050505051
68,74,0.015151515151515152
68,62,0.03535353535353535
68,14,0.010101010101010102
68,63,0.005050505050505051
68,115,0.005050505050505051
134,141,0.045454545454545456
134,140,0.005050505050505051
134,102,0.005050505050505051
168,182,0.04040404040404041
168,185,0.005050505050505051
168,184,0.020202020202020204
168,194,0.06060606060606061
83,69,0.005050505050505051
159,161,0.13636363636363635
159,185,0.06565656565656566
159,194,0.16666666666666666
159,102,0.005050505050505051
175,110,0.005050505050505051
182,161,0.12626262626262627
182,185,0.005050505050505051
182,143,0.015151515151515152
182,184,0.025252525252525252
182,155,0.010101010101010102
182,180,0.09595959595959595
182,256,0.010101010101010102
182,194,0.005050505050505051
182,151,0.005050505050505051
64,46,0.6868686868686869
64,155,0.29797979797979796
161,187,0.015151515151515152
161,184,0.03535353535353535
161,145,0.010101010101010102
161,158,0.005050505050505051
161,181,0.050505050505050504
161,320,0.010101010101010102
161,153,0.010101010101010102
161,194,0.030303030303030304
161,125,0.005050505050505051
161,124,0.005050505050505051
161,152,0.005050505050505051
161,199,0.005050505050505051
161,151,0.005050505050505051
161,102,0.005050505050505051
161,106,0.005050505050505051
41,50,0.025252525252525252
41,66,0.045454545454545456
41,311,0.005050505050505051
41,305,0.005050505050505051
41,303,0.015151515151515152
41,318,0.005050505050505051
41,262,0.005050505050505051
41,109,0.005050505050505051
19,50,0.045454545454545456
19,66,0.010101010101010102
19,74,0.005050505050505051
19,301,0.015151515151515152
19,143,0.05555555555555555
19,62,0.030303030303030304
19,65,0.020202020202020204
19,77,0.005050505050505051
19,158,0.015151515151515152
19,34,0.04040404040404041
19,125,0.030303030303030304
19,108,0.010101010101010102
38,187,0.3383838383838384
38,111,0.005050505050505051
50,73,0.07575757575757576
50,45,0.010101010101010102
50,65,0.005050505050505051
50,63,0.005050505050505051
50,320,0.005050505050505051
50,107,0.005050505050505051
122,105,0.005050505050505051
122,102,0.005050505050505051
185,187,0.010101010101010102
185,145,0.010101010101010102
185,181,0.08080808080808081
185,275,0.025252525252525252
185,177,0.06565656565656566
185,321,0.005050505050505051
178,191,0.03535353535353535
178,187,0.05555555555555555
178,180,0.05555555555555555
178,177,0.08585858585858586
178,156,0.11616161616161616
178,188,0.005050505050505051
178,111,0.005050505050505051
191,187,0.010101010101010102
191,156,0.015151515151515152
191,188,0.005050505050505051
29,54,0.005050505050505051
29,45,0.9191919191919192
29,177,0.03535353535353535
35,101,0.18686868686868688
35,34,0.6313131313131313
35,28,0.010101010101010102
35,223,0.09090909090909091
157,156,0.09090909090909091
73,74,0.1111111111111111
73,23,0.005050505050505051
187,184,0.020202020202020204
187,179,0.005050505050505051
187,188,0.005050505050505051
66,309,0.005050505050505051
66,88,0.005050505050505051
66,21,0.005050505050505051
66,74,0.010101010101010102
66,301,0.020202020202020204
66,69,0.005050505050505051
66,62,0.11616161616161616
66,305,0.030303030303030304
66,14,0.025252525252525252
66,78,0.03535353535353535
66,63,0.005050505050505051
66,303,0.005050505050505051
54,62,0.13131313131313133
54,180,0.42424242424242425
54,28,0.005050505050505051
54,103,0.005050505050505051
54,108,0.06565656565656566
88,74,0.04040404040404041
21,321,0.010101010101010102
74,69,0.005050505050505051
74,14,0.010101010101010102
74,78,0.005050505050505051
74,302,0.005050505050505051
74,34,0.010101010101010102
30,45,0.010101010101010102
30,145,0.23232323232323232
30,131,0.005050505050505051
30,128,0.06565656565656566
30,28,0.005050505050505051
30,203,0.08080808080808081
86,62,0.4595959595959596
86,48,0.05555555555555555
86,46,0.010101010101010102
86,218,0.005050505050505051
86,220,0.025252525252525252
86,203,0.06565656565656566
301,300,0.015151515151515152
301,302,0.010101010101010102
301,303,0.010101010101010102
301,318,0.005050505050505051
69,12,0.025252525252525252
69,26,0.005050505050505051
45,62,0.08585858585858586
45,28,0.005050505050505051
45,194,0.005050505050505051
45,108,0.025252525252525252
45,109,0.005050505050505051
143,145,0.010101010101010102
143,180,0.15151515151515152
143,141,0.025252525252525252
143,320,0.005050505050505051
143,197,0.005050505050505051
143,252,0.010101010101010102
143,194,0.010101010101010102
143,321,0.005050505050505051
143,144,0.010101010101010102
143,151,0.005050505050505051
184,150,0.005050505050505051
184,181,0.0707070707070707
184,180,0.020202020202020204
184,141,0.04040404040404041
184,179,0.005050505050505051
184,194,0.030303030303030304
184,275,0.025252525252525252
184,165,0.06565656565656566
145,101,0.005050505050505051
145,181,0.18181818181818182
145,180,0.04040404040404041
145,153,0.005050505050505051
145,197,0.015151515151515152
145,124,0.005050505050505051
145,165,0.5808080808080808
145,152,0.005050505050505051
145,144,0.005050505050505051
189,129,0.005050505050505051
62,48,0.005050505050505051
62,65,0.005050505050505051
62,46,0.010101010101010102
62,141,0.010101010101010102
62,203,0.06565656565656566
62,231,0.010101010101010102
300,302,0.025252525252525252
150,181,0.21212121212121213
150,180,0.5252525252525253
150,153,0.010101010101010102
150,321,0.045454545454545456
150,152,0.005050505050505051
150,144,0.005050505050505051
150,151,0.005050505050505051
48,46,0.010101010101010102
48,23,0.005050505050505051
48,194,0.10606060606060606
48,203,0.09090909090909091
12,63,0.005050505050505051
12,109,0.010101010101010102
14,78,0.005050505050505051
14,85,0.005050505050505051
14,26,0.005050505050505051
77,28,0.005050505050505051
75,23,0.005050505050505051
75,25,0.005050505050505051
101,131,0.020202020202020204
101,128,0.09595959595959595
101,34,0.04040404040404041
101,265,0.020202020202020204
101,129,0.010101010101010102
313,275,0.04040404040404041
313,321,0.005050505050505051
260,221,0.9949494949494949
80,318,0.015151515151515152
302,303,0.5050505050505051
302,318,0.005050505050505051
158,180,0.1414141414141414
158,105,0.005050505050505051
158,102,0.005050505050505051
127,131,0.005050505050505051
127,34,0.15656565656565657
127,179,0.005050505050505051
127,125,0.07575757575757576
127,129,0.015151515151515152
263,266,0.015151515151515152
263,222,0.06565656565656566
263,256,0.03535353535353535
263,265,0.010101010101010102
263,275,0.8636363636363636
263,102,0.005050505050505051
155,153,0.010101010101010102
155,197,0.005050505050505051
155,140,0.010101010101010102
155,124,0.005050505050505051
155,152,0.005050505050505051
155,216,0.020202020202020204
266,256,0.10606060606060606
266,223,0.005050505050505051
266,271,0.005050505050505051
181,180,0.06565656565656566
181,179,0.010101010101010102
181,197,0.010101010101010102
181,140,0.010101010101010102
181,256,0.005050505050505051
181,265,0.005050505050505051
181,125,0.06060606060606061
181,124,0.005050505050505051
181,152,0.005050505050505051
181,144,0.005050505050505051
221,222,0.16666666666666666
221,202,0.43434343434343436
221,203,0.37373737373737376
221,225,0.005050505050505051
221,219,0.005050505050505051
221,224,0.005050505050505051
180,141,0.020202020202020204
180,128,0.020202020202020204
180,140,0.020202020202020204
180,256,0.005050505050505051
180,194,0.010101010101010102
180,129,0.005050505050505051
180,271,0.005050505050505051
180,323,0.005050505050505051
121,197,0.015151515151515152
121,165,0.7828282828282829
121,123,0.005050505050505051
121,199,0.005050505050505051
121,119,0.005050505050505051
121,272,0.010101010101010102
141,152,0.005050505050505051
141,144,0.005050505050505051
141,196,0.025252525252525252
222,223,0.09595959595959595
222,201,0.06565656565656566
222,218,0.005050505050505051
222,220,0.40404040404040403
222,236,0.005050505050505051
222,271,0.005050505050505051
222,262,0.005050505050505051
222,231,0.010101010101010102
222,229,0.005050505050505051
131,179,0.08585858585858586
131,28,0.005050505050505051
131,140,0.045454545454545456
131,275,0.015151515151515152
131,129,0.005050505050505051
128,28,0.005050505050505051
128,197,0.020202020202020204
128,303,0.025252525252525252
128,262,0.005050505050505051
105,107,0.005050505050505051
105,102,0.005050505050505051
34,179,0.005050505050505051
34,129,0.020202020202020204
211,203,0.9747474747474747
211,209,0.010101010101010102
211,219,0.005050505050505051
211,210,0.005050505050505051
179,197,0.020202020202020204
179,256,0.050505050505050504
179,125,0.005050505050505051
179,124,0.005050505050505051
179,275,0.015151515151515152
179,123,0.005050505050505051
320,197,0.010101010101010102
320,321,0.015151515151515152
320,196,0.005050505050505051
320,102,0.005050505050505051
28,129,0.015151515151515152
153,197,0.010101010101010102
153,140,0.015151515151515152
153,129,0.04040404040404041
153,144,0.005050505050505051
153,110,0.005050505050505051
197,194,0.010101010101010102
197,124,0.005050505050505051
197,152,0.005050505050505051
197,123,0.005050505050505051
197,144,0.025252525252525252
197,196,0.025252525252525252
197,274,0.005050505050505051
197,272,0.010101010101010102
197,151,0.005050505050505051
140,201,0.08080808080808081
140,144,0.04040404040404041
256,265,0.015151515151515152
256,201,0.08585858585858586
256,203,0.020202020202020204
252,123,0.005050505050505051
252,272,0.07575757575757576
194,201,0.005050505050505051
194,321,0.005050505050505051
194,129,0.005050505050505051
265,262,0.005050505050505051
125,275,0.0707070707070707
125,123,0.010101010101010102
124,152,0.005050505050505051
124,123,0.005050505050505051
124,144,0.005050505050505051
275,262,0.005050505050505051
223,201,0.010101010101010102
201,219,0.005050505050505051
177,188,0.010101010101010102
177,220,0.08080808080808081
177,111,0.005050505050505051
156,188,0.005050505050505051
156,314,0.005050505050505051
156,165,0.04040404040404041
138,111,0.010101010101010102
188,119,0.005050505050505051
165,144,0.020202020202020204
123,272,0.005050505050505051
144,196,0.005050505050505051
144,274,0.005050505050505051
196,274,0.005050505050505051
196,272,0.010101010101010102
274,272,0.010101010101010102
220,202,0.11616161616161616
220,216,0.025252525252525252
236,213,0.005050505050505051
217,231,0.9949494949494949
216,209,0.010101010101010102
216,219,0.005050505050505051
216,210,0.005050505050505051
203,213,0.005050505050505051
225,213,0.005050505050505051
209,229,0.005050505050505051
210,229,0.005050505050505051
271,262,0.005050505050505051
109,115,0.005050505050505051
109,106,0.005050505050505051
